label,text,pred,prob_spam
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,0.07498918665033397
0,Ok lar... Joking wif u oni...,0,0.06927376863648806
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,0.9297714819879798
0,U dun say so early hor... U c already then say...,0,0.039354562488881445
0,"Nah I don't think he goes to usf, he lives around here though",0,0.06067617653042849
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",0,0.43160538371510265
0,Even my brother is not like to speak with me. They treat me like aids patent.,0,0.06586792750788992
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,0.24610563573126937
1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,0.9607275893806159
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,0.9705640930088936
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,0.06064789861554629
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,0.9559042722039838
1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,0.9749423677468313
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,0.21169853974880704
0,I HAVE A DATE ON SUNDAY WITH WILL!!,0,0.22511030121548234
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,0.89201988891721
0,Oh k...i'm watching here:),0,0.04104580106737044
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,0.0571696263437189
0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0,0.05746579698536456
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1,0.8431689393227303
0,Is that seriously how you spell his name?,0,0.05296599921398139
0,IÛ÷m going to try for 2 months ha ha only joking,0,0.14421576173679065
0,So Ì_ pay first lar... Then when is da stock comin...,0,0.043180696340901666
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,0.039366253557343266
0,Ffffffffff. Alright no way I can meet up with you sooner?,0,0.050019842983572115
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,0.07418456496958027
0,Lol your always so convincing.,0,0.09882226516435924
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,0.04947877418427337
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,0.055738096114859303
